COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,QUANTITY,UNIT_OF_MEASURE,UNIT_OF_MEAS_DESC,UNIT_PRICE,ITM_TOT_AM,MASTER_AGREEMENT,CONTRACT_NAME,PURCHASE_ORDER,AWARD_DATE,VENDOR_CODE,LGL_NM,AD_LN_1,AD_LN_2,CITY,ST,ZIP,CTRY
47509602005,Krinkle Gauze Roll  Dynarex # 3161.   6 ply large sterile ro,B005     Krinkle Gauze Roll    6 ply large sterile roll  4.5in x 4.1yds stretched.  Dynarex # 3161 or buyer approved equavilent,500.0,EA,Each,0.55,275.0,MA9300GA100000027,krinkle gauze,DO930011062119296,06/21/2011,BOU8303524,BOUND TREE MEDICAL L L C,PO BOX 8023,,DUBLIN,OH,43016-2023,US
12063,"Motors, Outboard, Gasoline","Outboard Engine, PDR Unit 5287806034",1.0,EA,Each,7140.0,7140.0,,"Aluminum Jon Boat, Outboard Engine & Boat Trailer",CT780011090201470,09/02/2011,TRA6001635,TRAVIS BOATING CENTER INC,13045 RESEARCH BLVD,,AUSTIN,TX,78750-3206,US
20460,"Monitors, Color and Monochrome (CGA, VGA, SVGA, et",Da-Lite Deluxe Project-O-Stand 425 with black skirt - SKU  42067 & SKU 69834  28606 - Quote #4822 - Contract #DIR-TSO-3358,5.0,EA,Each,479.04,2395.2,MA5600NC180000001,Audio Visual Eq.,DO560018081514482,08/15/2018,QAS6003650,QA SYSTEMS INC,3267 Bee Caves Rd.,Suite 107-514,AUSTIN,TX,78746-6773,US
72542,"Poles, Metal, Transmission, High Voltage","POLE, STEEL, GALVANIZED, LD-MOD SPEC E-1114, 55 FT LENGTH.  Change commodity group and commodity code from M28580 & 2858049 to M72542 & 72542 DKOKAS 31MAY12",1.0,EA,Each,5336.0,5336.0,MA1100GA150000042A,link to MAX65818- to stock,DOM1100MAX67818,07/10/2017,TRA4699000,TRANSAMERICAN POWER PRODUCTS,2427 Kelly Ln,,Houston,TX,77066,US
34060541002,HYD PART 5 1/4 AMERICAN DARLING B84B SEAT RING 84-35-02,RC LN___ QTR DEL___ P/F___ B/O___ DEL DATE_______,5.0,EA,Each,202.0,1010.0,,material needed at awgbsc,PO220010100800191,10/08/2010,MOR7160340,MORRISON SUPPLY CO,8210 SPRINGDALE RD,,AUSTIN,TX,78724,US
20811,"Application Software, Microcomputer",1128931,2.0,EA,Each,481.0,962.0,MA5600NC110000003,1128931-Renee Barron-Crystal,DO560011093026201,09/30/2011,SHI7164260,SHI-GOVERNMENT SOLUTIONS INC,1250 S CAP OF TX HWY STE II350,,AUSTIN,TX,78746-6483,US
0551620,"CONSOLE, PATROL VEHICLE, FLOOR",425-6030  JOTTO DESK LAZY L CONSOLE,3.0,EA,Each,72.15,216.45,,EMS  vehicle equipment console items,PO640012041604139,04/16/2012,ALL8300287,ALL AMERICAN SALES CORP,1410 COLLEGE AVE,,SOUTH HOUSTON,TX,77587-5406,US
0555444,"LIGHTS, EMERGENCY",WE-43014640200,2.0,EA,Each,51.0,102.0,MA6400GA080000072,GT Whelen $1249.80  See attached,DO640010121606637,12/16/2010,GTD2150750,GT DISTRIBUTORS INC,PO BOX 16080,,AUSTIN,TX,78761-6080,US
11505,"Biochemical Reagents and Tests: Antibiotic Assays,","#4392904 PrepFiler, 96-Well Processing Plates, 1 EA. @ $155.00 EA. Unit Size 10 plates Total Cost $155.00    #4323032 MicroAmp, Optical 8-Cap Strips 1-EA. @ $102.00 EA. Unit Size 300 strips Total Cost $102.00    #4352755 POP-4, Polymer for 3130/3130xl Genetic Analyzers 3 EA. @ $588.00 EA. Unit size 7,000ul Total Cost $1,764.00    Dry Ice Charge $17.50  Handling Charge $67.50    Grand Total Cost $2,106.00",0.0,,,0.0,2106.0,MA8700NS130000036,DNA Lab Supplies,DO870017053011649,05/30/2017,INV7168380,LIFE TECHNOLOGIES CORPORATION,5791 VAN ALLEN WAY,,CARLSBAD,CA,92008,US
34041,Fire Suppression Foam and other Suppression Compou,"(165) 5 gallon pails for National Knockdown Class A Foam in Square Buckets PN#2170-2335-6  Cost per unit $77.90 and freight is $1,450.00.",0.0,,,0.0,14303.5,,Class A Foam - Square Buckets,CT830011081601349,08/16/2011,TAC4539500,DOOLEY TACKABERRY INC,PO BOX 9700,,DEER PARK,TX,77536-9700,US
2857484,"SCREWS, LAG, GALVANIZED STEEL","CROSSARM, 6 PIN, 8 FOOT LONG X 3-1/2 INCH X 4-1/2 INCH MINIMUM, PENTA  TREATED TO SIX (6) POUNDS FINAL RETENTION, IN ACCORDANCE WITH ATTACHED  ELECTRIC DEPARTMENT DRAWING.  ON QUALIFIED PRODUCTS LIST EL-083.",7.0,EA,Each,30.0,210.0,MA1100GA080000083,Critical materials Supply Arrangement,DOM1100MAX39790,05/16/2014,KBS6049140,KBS ELECTRICAL DISTRIBUTORS INC,504 E ST ELMO,,AUSTIN,TX,78745,US
71530,Display and Exhibit Materials,"Altcar Expo fees for sound setup and event fees - Ref Platia invoice dated April 1, 2010  Buyer: Dennis Phipps",0.0,,,0.0,583.0,,Altcar expo fees,PO110010060206981,06/02/2010,VS0000014127,Christine Alexandra Dzilvelis,3435 Ocean Park Blvd.,#107-730,Santa Monica,CA,90405,US
54032,"Lumber, Redwood",,20.0,EA,Each,5.95,119.0,,"Ace Contractors/Concrete/wire mesh, lumber",PO620011110300818,11/10/2011,ACE7163805,HAVERDA ENTERPRISES INC,5005 E BEN WHITE BLVD,,AUSTIN,TX,78741-7301,US
8900857,"PARTS AND ACCESSORIES, DOMESTIC WATER TREATMENT",Paddle #R32237 20@110.74,0.0,,,0.0,2214.8,MA2200GA110000053,Pressure Gauge & Diaphragm,DO220011081923433,10/19/2011,ENV1755500,ENVIRONMENTAL IMPROVEMENTS INC,PO BOX 70,,BUDA,TX,78610-0070,US
39035,Ice,Central Park / Charles Vaclavik / outstanding invoices,0.0,,,0.0,658.5,,Flash Cubes Ice Service / ice / outstanding invoices,PO860009102300717,11/02/2009,FLA8314424,FLASH CUBES ICE SERVICE L L C,PO BOX 6933,,AUSTIN,TX,78762-6933,US
48586103004,"HAND SOAP FOAM, 1000ML",RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,36.0,EA,Each,10.25,369.0,MA7400GC130000008,Material needed for Glen Bell warehouse,DO220015091820739,09/18/2015,MSC6003170,SID TOOL CO INC,121 Interpark Blvd Ste 1203,,SAN ANTONIO,TX,78216,US
7452114,"ASPHALTIC CONCRETE, HOT MIX, IN ACCORDANCE WITH IT",,400.47,TON,Ton,64.0,25630.08,MA6200GA120000082,APAC Texas/ Hot Mix/ various sections,DO620013022009210,02/20/2013,VC0000102792,APAC-TEXAS INC,1 Chisholm Trail Ste 450,,Round Rock,TX,78681,US
34522,Fall Protection Equipment and Accessories (For the,Network  Part # 488W2Q3 Qty. 11ea,11.0,EA,Each,520.0,5720.0,MA1100GA150000024,Fall Arrest System,DOM1100MAX45340,12/09/2014,V00000905874,"Farwest Line Specialties, LLC",4435 Traffic Way,,Atascadero,CA,93422,US
2093852,"SOFTWARE, MAINFRAME, DATABASE, LATEST VERSION OR R",24614-ARR Anticipated services for Amendment # 3,0.0,,,0.0,27370.0,MA1500NA140000044,24614-ARR Services for URO Program,DO560016101901518,10/19/2016,V00000914242,Emerge Knowledge Design Inc.,401-250 McDermot Ave.,,"Winnipeg, Manitoba",,R3B 0S5,CA
47587775241,A085 i-gel O2 Resus Pack. Small adult. INTERSURGICAL Ite,,10.0,CASE,Case,133.44,1334.4,MA9300GA120000098,medical supplies,DO930014091520804,09/15/2014,BOU8303524,BOUND TREE MEDICAL L L C,PO BOX 8023,,DUBLIN,OH,43016-2023,US
65933141003,COUPLING BRASS 1 1/2IN. MIP X COMPRESSION GRIP JOINT,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,15.0,EA,Each,24.06,360.9,,material needed at wbsc,PO220010101800474,10/18/2010,FER1841250,FERGUSON ENTERPRISES INC,200 PARK CENTRAL BLVD,,GEORGETOWN,TX,78626-9999,US
89030107006,MANHOLE EXT RING 1 FOR 32IN S S MANHOLE RING STANDARD,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,50.0,EA,Each,134.0,6700.0,MA2200GA120000109,Material needed at Webberville warehouse,DO220015090319966,09/03/2015,TUR8306768,FJ TURNER COMPANY INC,PO BOX 20741,,RALEIGH,NC,27619-0741,US
3202010,"BOLTS, ANCHOR, HOT ROLLED STEEL, W/2 NUTS","BOLT, MACHINE, SQUAREHEAD, ROLLEDTHREADS, HOTDIP, GALVANIZED  FURNISHED WITH ONE SQUARE NUT ASSEMBLED.  On Qualified Products List EL122",100.0,EA,Each,2.2,220.0,MA1100GA080000084,Critical materials Supply Arrangement,DOM1100MAX63850,01/18/2017,PRI3766500,PRIESTER-MELL & NICHOLSON INC,601 E 56TH ST,,AUSTIN,TX,78751-1404,US
2879624,"CABLE, DATA PATCH, COMMUNICATION","N356-03M,  quote 213295170, US Communiites RQ09-997736-42B",1.0,EA,Each,22.36,22.36,,Insight Public Sector - 880.73,PO640011110700885,11/07/2011,COM7062925,INSIGHT PUBLIC SECTOR INC,6820 S HARL AVE,,TEMPE,AZ,85283-4318,US
1102255,"PARTS AND ACCESSORIES, CONVEYOR BELT",Shipping & handling,0.0,,,0.0,90.07,MA8100GA090000040,Powerturn parts for stock,DO810009100800861,10/08/2009,TRA7153470,TRANSNORM SYSTEMS INC,1906 S GREAT SOUTHWEST PKWY,,GRAND PRAIRIE,TX,75051-3580,US
45037,"Hardware Accessories: Mounts, Patches, Plates, Sea","15149 - ARC (EMS MDCs), quote SQ-149474, DIR-SDD-1365/886, item PAN/SOL-COP-NI",20.0,EA,Each,668.43,13368.6,MA5600NC120000009,15149 - ARC (EMS MDCs),DO560012031910522,03/20/2012,AUS0481500,AUSTIN RIBBON & COMPUTER,9211 Waterford Centre Blvd,Suite 202,Austin,TX,78758,US
21045104001,BOX FORCE MAIN HIGH DENSITY POLYETHYLENE CLEAN OUT,RC___ QTY DEL___ P/F___ B/O___ DEL DATE_______,10.0,EA,Each,66.57,665.7,MA2200GA100000086,material needed at awbsc,DO220011051216634,05/12/2011,VC0000100932,TECHLINE PIPE LP,611 E BRAKER LN,,AUSTIN,TX,78753,US
5707209,"ANGLES, MILD STEEL","Steel Angle Iron- 2"" X 2"" X 1/4"" X 20'; 2"" X 2"" X 3/16"" X 20'; 3"" X 3"" X 3/16"" X 20'",0.0,,,0.0,121.27,,"Steel: Flat, Angle Iron, Pipe, Rect. Tubing, Expanded Metal",PO220011040404153,04/04/2011,VC0000102978,INDUSTRIAL DISTRIBUTION GROUP INC,943 AT&T CENTER PARKWAY,,SAN ANTONIO,TX,78219,US
65944901002,PIPE JOINT RESTRAINT FOR D.I. PIPE MJ GLANDS 6 INCH,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,100.0,EA,Each,23.4,2340.0,MA2200GA140000109,"6"" DI Pipe Joint Restraints for Glen Bell warehouse",DO220016050612664,05/06/2016,FER1841250,FERGUSON ENTERPRISES INC,FERGUSON WATERWORKS #1105,200 PARK CENTRAL BLVD,GEORGETOWN,TX,78626-9999,US
7507006,"CONCRETE, READY MIX",,19.0,CUYD,Cubic Yard,77.9,1480.1,MA1100GA120000066,CONCRETE,DOM1100MAX26122,10/09/2012,CUS7051095,OLDCASTLE APG TEXAS,4433 TERRY-O LN,,AUSTIN,TX,78745-2039,US
20791,"Tools, Computer",500GB Drivestation USB-2.0 SATA Encryption  DIR-SDD-890-TX,1.0,EA,Each,78.29,78.29,MA5600GC100000001,500GB Drivestation USB-2.0 SATA Encryption - 966661,DO560009111904558,11/19/2009,CHE8303640,CHECKPOINT SERVICES INC,1790 COMMERCE PARK - STE. A1,,EL PASO,TX,79912-,US
03187,Testing and Recording Instruments,1 Year Renewal of unlimited use B-PAD for Entry Level Police Report Writing per Limited Use Agreement signed 05/08/12.  Term:  05/20/12 to 05/19/13. For Police Traiing and Recruiting.,0.0,,,0.0,900.0,,1 Year Renewal of B-Pad Entry Level Police Report Writing,PO870012050904536,05/09/2012,BPA8317768,B-PAD GROUP INC (THE),20590 PALMER AVE STE A,,SONOMA,CA,95476-7519,US
2808090,"CABLE, POWER, TYPE XLPE","WIRE,TRIPLEX,1/0 AWG,ALUM.,FULL ACSR NEUTRAL,XLP INSULATION,NERITINA,90 DEG  C MAX OPERATING TEMP. WIRE SHALL BE FURNISHED ON NONRETURNALBE WOOD REELS.  MAX FLANGE MEASUREMENT 30"" AND MAX OUTSIDE TO OUTSIDE WIDTH MEASUREMENT  SHALL BE 22"".  PURCHASING FOOTAGE SHALL BE 500 FT.  ON QUALIFIED PRODUCTS LIST EL1502.  REPLACES 28090115001 PER G. NOBLE NEW DCS 6/11/98.",500.0,FT,Foot,0.95,475.0,MA1100GA080000080,Critical materials Supply Arrangement,DOM1100MAX27188,11/27/2012,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
72556,"Telephone Systems (2-60 Stations), Electronic Key",1039749,4.0,EA,Each,32.12,128.48,MA5600GC100000001,1039749-Clyde Myers-,DO560010091431054,09/14/2010,ANI0261000,ANIXTER INC,2301 PATRIOT BLVD,,GLENVIEW,IL,60025-8020,US
0555444,"LIGHTS, EMERGENCY","SoundOff Signal Intersector Mirror Light, Blue",3.0,EA,Each,119.79,359.37,MA6400GA110000076,"LONE STAR PRODUCTS $3,558.57 SEE ATTACHED",DO640012112103826,11/21/2012,VS0000025138,Lone Star Products & Equipment llc,2048 FM 1960 Rd. West,,Houston,TX,77090,US
32083,Threaded Rod and Studs,"BOLT, DOUBLE ARMING, HOT DIP GALVANIZED, FULL LENGTH  THREADED, FURNISHED WITH FOUR SQUARE NUTS ASSEMBLED.  On Qualified Products List EL112",25.0,EA,Each,2.6,65.0,MA1100GA080000083,Critical materials Supply Arrangement,DOM1100MAX49126,05/13/2015,KBS6049140,KBS ELECTRICAL DISTRIBUTORS INC,504 E ST ELMO,,AUSTIN,TX,78745,US
2008611,"CLOTHING: SHIRT, WORK",Ray Flores-10052115  Jerry Perez-10029687,12.0,EA,Each,23.24,278.88,,work shirts for warehouse employees,PO220014081905131,08/19/2014,VS0000032065,Sunbelt Supply LLC,3301 Sunrise,,Round Rock,TX,78665,US
4500242,"FOAM, POLYURETHANE, CHEMICAL BACKFILL","BACKFILL, POLYURETHANE FOAM, WATER BASE, 5 GALLON KIT, PER CITY OF AUSTIN  PURCHASING SPECIFICATION E-1705, DATED MARCH 29, 2007. QPL EL1194.  QUESTIONS CONTACT:  PETER G. SOOSAY, P.E., AUSTIN ENERGY, 2526 KRAMER LANE,  BLDG. E, SUITE 228, AUSTIN, TX 78758, (512) 505-7072; (512) 505-7104 FAX",30.0,KIT,Kit,121.0,3630.0,MA1100GA080000036,Generated by reorder 10/20/11 8:26 AM.,DOM1100MAX17940,10/24/2011,PRI3766500,PRIESTER-MELL & NICHOLSON INC,601 E 56TH ST,,AUSTIN,TX,78751-1404,US
2852622,"CONDUIT, STEEL, TRAFFIC SIGNAL","SPLICE, COMPRESSION, 2/0 STRD, UNDERGROUND.  On Qualified Products List EL176",171.0,EA,Each,3.0,513.0,MA1100GA080000080,Critical materials Supply Arrangement,DOM1100MAX20254,02/03/2012,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
40502304584,E85 - ETHANOL,,0.0,,,0.0,17871.12,MA7800GA140000034,Sun Coast Contract,DO780015061615444,06/29/2015,SUN4497225,SUN COAST RESOURCES INC,6922 CAVALCADE,,HOUSTON,TX,77028-,US
20710,COMPUTER ACCESSORIES AND SUPPLIES,Q-148775  DIR-SDD-1934  APD,9.0,EA,Each,202.94,1826.46,MA5600NC150000003,22151 Microsoft Surface Pro 3 - 256 GB Item: QG2-00001 - rep,DO560015091820719,09/18/2015,AUS0481500,AUSTIN RIBBON & COMPUTER SUPPLIES INC,9211 Waterford Centre Blvd,Suite 202,Austin,TX,78758,US
20072,"CLOTHING: TROUSERS, SUPV AND UNIFORM",,0.0,,,0.0,400.0,MA8700GA120000038,Blauer Polo shirts sm - Xl,DO160013052814570,05/28/2013,MIL3235500,MILLER UNIFORMS & EMBLEMS INC,650 CANION ST,,AUSTIN,TX,78752-3510,US
47516265162,"N007 18ga. X 1.25"" PROTECTIV PLUS Safety Catheter  Medex","N007    PROTECTIV PLUS Safety I. V. Catheters . Size: 18G x 1 1/4"" Green  SMITHS MEDICAL  Item Number 3065",52.0,BOX,Box,80.5,4186.0,MA9300GA120000098,medical supplies,DO930012083120957,08/31/2012,QUA8319350,QUADMED INC,11210-1 PHILIPS INDUSTRIAL BLVD,,JACKSONVILLE,FL,32256,US
34564,"Head, Ear, Eye and Face Protection",Prescription Fit Protective Eyewear,0.0,,,0.0,108.0,MA6300GA070000188,PROTECTIVE EYEWEAR FOR BOB BUCKLEY,DO680009111203973,11/12/2009,ALL8305442,ALLAN BAKER INC,4036 DUTCHMANS LN,,LOUISVILLE,KY,40207-4704,US
39330574010,BEVERAGES W/ELECTROLYTE GLACIER FREEZE GATORADE,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,64.0,EA,Each,3.16,202.24,MA7400GC150000004,Materials needed at Glen Bell warehouse,DO220015071016830,07/10/2015,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US
34556370002,"HAT, SAFETY, FULLBRIM VENTED",RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,20.0,EA,Each,12.65,253.0,MA7400GC130000008,Material needed at Glen Bell warehouse,DO220015081318761,08/13/2015,MSC6003170,SID TOOL CO INC,121 Interpark Blvd Ste 1203,,SAN ANTONIO,TX,78216,US
